Input,Pred,Pred_Latin,Gold
"Read the following article and select the best answer. Article: How far would you be willing to go to satisfy your need to know?Far enough to find out your possibility of dying from a terrible disease?These days that's more than an academic question,as Tracy Smith reports in our Cover Story. There are now more than a thousand genetic  tests,for everything from baldness to breast cancer,and the list is growing.Question is,do you really want to know what might eventually kill you?For instance,Nobel Prizewinning scientist James Watson,one of the first people to map their entire genetic makeup,is said to have asked not to be told if he were at a higher risk for Alzheimer's . \If I tell you that you have an increased risk of getting a terrible disease,that could weigh on your mind and make you anxious,through which you see the rest of your life as you wait for that disease to hit you.It could really mess you up."" said Dr.Robert Green,a Harvard geneticist. ""Every ache and pain,"" Smith suggested,could be understood as ""the beginning of the end.""""That's right.If you ever worried you were at risk for Alzheimer's disease,then every time you can't find your car in the parking lot,you think the disease has started."" Dr.Green has been thinking about this issue for years.He led a study of people who wanted to know if they were at a higher genetic risk for Alzheimer's.It was thought that people who got bad news would,for lack of a better medical term, _ .But Green and his team found that there was ""no significant difference"" between how people handled good news and possibly the worst news of their lives.In fact,most people think they can handle it.People who ask for the information usually can handle the information,good or bad,said Green. Question: Which of the following is TRUE of James Watson? - He is strongly in favor of the present genetic tests. - He is more likely to suffer from Alzheimer's disease. - He believes genetic mapping can help cure any disease. - He doesn't want to know his chance of getting a disease.
""","Every ache and pain,"" Smith suggested,could be understood as ""the beginning of the end."" - That's right.If you ever worried you were at risk for Alzheimer's disease,then every time you can't find your car in the parking lot,you think the disease has started.""
Question: What is Dr. Robert Green's opinion about people asking for the information?","Every ache and pain,"" Smith suggested,could be understood as ""the beginning of the end."" - That's right.If you ever worried you were at risk for Alzheimer's disease,then every time you can't find your car in the parking lot,you think the disease has started.""
Question: What is Dr. Robert Green's opinion about people asking for the information?",
"Pick the option in line with common sense to answer the question. Question: The steak house was unfamiliar to western palettes, from where did the cooking style originate? Options:  A. mexico  B. ocean  C. japan  D. texas  E. new york
The answer to this question is:","C. japan. The cooking style is a common theme in Japanese cuisine. Other options are either unrelated to the question or do not sound plausible. A. mexican steak houses in texas have some Japanese influences that resulted in their cooking style, however, most Japanese-style steakhouses are not Mexican, let alone in texas. B. Japan and ocean have nothing in common. C. Japan is famous for its beef, sushi and teriyaki, most Japanese steakhouses use an original Japanese cooking","C. japan. The cooking style is a common theme in Japanese cuisine. Other options are either unrelated to the question or do not sound plausible. A. mexican steak houses in texas have some Japanese influences that resulted in their cooking style, however, most Japanese-style steakhouses are not Mexican, let alone in texas. B. Japan and ocean have nothing in common. C. Japan is famous for its beef, sushi and teriyaki, most Japanese steakhouses use an original Japanese cooking",
"TEXT: `` he 's challenged me to a duel in the hope of defending it . '' william cast a glance over her shoulder at michael . `` it must have been quite an offense indeed if you felt compelled to challenge her . '' `` i did n't make the decision lightly , '' michael ground out . his eyes were unflinching as he stared back at","the cold unsmiling face of his host. when he spoke, his voice was low and controlled. like the sound of a man who knew he was in complete control. `` i need your help. ''' said michael. `` i'm hoping to break that bond ; to set it free from the very beginning, before it's even started. I want to stop it from growing into something that will destroy my family. '' `` then let us help, '' castillo replied, a soft smile lining","the cold unsmiling face of his host. when he spoke, his voice was low and controlled. like the sound of a man who knew he was in complete control. `` i need your help. ''' said michael. `` i'm hoping to break that bond ; to set it free from the very beginning, before it's even started. I want to stop it from growing into something that will destroy my family. '' `` then let us help, '' castillo replied, a soft smile lining",
"Context: Quinn gave Jan some money for safekeeping. Jan put Quinn's money in the safe.  Question: How would Jan feel afterwards?  Which one of these answers best answers the question according to the context?  A: helpful  B: remorse  C: shame
","D: nothing   This entry was posted on Wednesday, 21 October 2009, 3:30 pm and is filed under 
Teaching English
. You can follow any responses to this entry through 
RSS 2.0
.","D: nothing   This entry was posted on Wednesday, 21 October 2009, 3:30 pm and is filed under 
Teaching English
. You can follow any responses to this entry through 
RSS 2.0
.",
"Given the following passage ""The first non-Native American inhabitant of what would eventually become New York City was Dominican trader Juan Rodriguez (transliterated to Dutch as Jan Rodrigues). Born in Santo Domingo of Portuguese and African descent, he arrived in Manhattan during the winter of 1613\u20131614, trapping for pelts and trading with the local population as a representative of the Dutch. Broadway, from 159th Street to 218th Street, is named Juan Rodriguez Way in his honor."",  answer the following question. Note that the answer is present within the text.  Question: How did the people Juan represented refer to him by name?
A:""","Juan Rodriguez Way""
C:"" Jan Rodrigues""
D:"" Juan Rodriguez""","Juan Rodriguez Way""
C:"" Jan Rodrigues""
D:"" Juan Rodriguez""",
Write a sentence not in English.,Write a sentence that describes a place without using any articles or nouns. Write a sentence that ends with a question mark. Write a sentence that uses the infinitive of the verb. Write a sentence that includes at least one adjective and a past tense verb. Write a sentence that uses the present perfect tense.,Write a sentence that describes a place without using any articles or nouns. Write a sentence that ends with a question mark. Write a sentence that uses the infinitive of the verb. Write a sentence that includes at least one adjective and a past tense verb. Write a sentence that uses the present perfect tense.,
"He is a member of the Royal Shakespeare Company and later joined the Renaissance Theatre Company. He has appeared in many of Kenneth Branagh's films, most recently as Corin in the 2006 film \As You Like It"". Yuill was also the music composer for ""A Midwinter's Tale"" and ""Swan Song"".

Can we draw the following conclusion?
He was in as you like it over 5 years ago

Available choices:
i. Yes.
ii. It's impossible to say.
iii. No.""","7



Hannah J. S. Smith, M. M. Poloczanska, N. H. Barton, P. R. Ellis, D. V. Spratt, E. Matthews, A. C. L. Hirst & S. J. Poungshompoo (2014) A synthesis report. Adaptation science, 11, pp.1-12.



Huang & Li (2011) The impacts of climate change on agriculture in coastal China","7



Hannah J. S. Smith, M. M. Poloczanska, N. H. Barton, P. R. Ellis, D. V. Spratt, E. Matthews, A. C. L. Hirst & S. J. Poungshompoo (2014) A synthesis report. Adaptation science, 11, pp.1-12.



Huang & Li (2011) The impacts of climate change on agriculture in coastal China",
"Available choices: [-] negative; [-] positive;Would the following phrase be considered positive or negative?

help sustain it 
","[ ] negative 

I am happy that I have more time to spend with my family
[-] negative
[ ] positive","[ ] negative 

I am happy that I have more time to spend with my family
[-] negative
[ ] positive",
"Q:""USS Tonkawa (YTB-786)"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?
A:""","In the Navy of the United States from the 1920s to the 1980s, the term ""buoyancy tank"" referred to a watertight compartment in the hull of a destroyer designed to float above the hull of other ships at dock.""","In the Navy of the United States from the 1920s to the 1980s, the term ""buoyancy tank"" referred to a watertight compartment in the hull of a destroyer designed to float above the hull of other ships at dock.""",
"Attributes: name = The Golden Palace, eatType = coffee shop, customer rating = 3 out of 5, area = riverside. Produce a detailed sentence about this restaurant.","The restaurant's name is The Golden Palace, and it is located on the banks. This coffee shop has a 3 out of 5 customer rating. It is a popular spot for locals, but some tourists have also visited. The interior is clean and well-designed, with seating for around 50 people. The menu offers a variety of coffee specialties and pastries. The drinks are flavorful and the pastries are tasty, but occasionally the service can be slow. Overall, The Golden Palace is a","The restaurant's name is The Golden Palace, and it is located on the banks. This coffee shop has a 3 out of 5 customer rating. It is a popular spot for locals, but some tourists have also visited. The interior is clean and well-designed, with seating for around 50 people. The menu offers a variety of coffee specialties and pastries. The drinks are flavorful and the pastries are tasty, but occasionally the service can be slow. Overall, The Golden Palace is a",
