dataset,lang,region,task,map_task,cultural
lr_sum_ind_seacrowd_t2t,ind,Indonesia,Summarization,Summarization,No
lr_sum_vie_seacrowd_t2t,vie,Vietnam,Summarization,Summarization,No
lr_sum_lao_seacrowd_t2t,lao,Laos,Summarization,Summarization,No
lr_sum_tha_seacrowd_t2t,tha,Thailand,Summarization,Summarization,No
lr_sum_khm_seacrowd_t2t,khm,Cambodia,Summarization,Summarization,No
lr_sum_mya_seacrowd_t2t,mya,Myanmar,Summarization,Summarization,No
xl_sum_mya_seacrowd_t2t,mya,Myanmar,Summarization,Summarization,No
xl_sum_ind_seacrowd_t2t,ind,Indonesia,Summarization,Summarization,No
xl_sum_tha_seacrowd_t2t,tha,Thailand,Summarization,Summarization,No
xl_sum_vie_seacrowd_t2t,vie,Vietnam,Summarization,Summarization,No
lio_and_central_flores_eng_ljl_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
lio_and_central_flores_ljl_eng_seacrowd_t2t,ljl,Indonesia,MT XX -> Eng,MT,Maybe
flores200_eng_Latn_ace_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_ban_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_bjn_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_bug_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_ceb_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_ilo_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_ind_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_jav_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_kac_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_khm_Khmr_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_lao_Laoo_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_lus_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_min_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_mya_Mymr_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
flores200_eng_Latn_pag_Latn_seacrowd_t2t,eng,Non-indigenous,MT Eng -> XX,MT,No
