Input,Pred,Pred_Latin,Gold
"อะไรควรเป็นคำถามสำหรับเหตุผลโดยนัยรวมถึงคำตอบข้างล่างนี้
ผู้ชายไม่สามารถมองเห็นเมืองและมองผ่านหน้าต่างไปพร้อมกันได้
 คำตอบ: ไม่","เพราะผู้ชายมี 2 ข้างตา
1. What is the logical fallacy in the statement ""Men cannot see a city and look through a window at the same time""?
Answer: The statement is an example of a false dichotomy, as it implies that men can only see one thing at a time. In reality, men (and humans in general) can see multiple things simultaneously.
2. What is the logical fallacy in the statement ""Men have two eyes,","ephraaphuchaymi 2 khangta
1. What is the logical fallacy in the statement ""Men cannot see a city and look through a window at the same time""?
Answer: The statement is an example of a false dichotomy, as it implies that men can only see one thing at a time. In reality, men (and humans in general) can see multiple things simultaneously.
2. What is the logical fallacy in the statement ""Men have two eyes,",
"แอนดรูว์กำลังจะพาเพื่อนสองคนมาค้างที่บ้าน สำหรับเพื่อนคนที่หนึ่งคือไบรอัน เขาขอให้แม่ซื้อโดนัท 3 ชิ้นสำหรับเพื่อนคนนี้ และเขาขอให้แม่ซื้อโดนัทปริมาณเท่ากันให้ซามูเอลซึ่งเป็นเพื่อนอีกคนหนึ่งด้วย
หนึ่งวันก่อนที่เพื่อนสองคนนี้จะมาค้าง แอนดรูว์ลงเอยด้วยการเชิญเพื่อนอีกสองคนมาและขอให้แม่ซื้อโดนัทให้เพื่อน ๆ ในปริมาณที่เท่ากัน แม่ของแอนดรูว์ยังจะซื้อโดนัทเพิ่มให้อีกคนละ 1 ชิ้นเผื่อเอาไว้ด้วย นอกจากนี้แม่ยังจะซื้อโดนัทเตรียมให้แอนดรูว์ในปริมาณเท่ากันกับเพื่อนคนอื่น ๆ ด้วย
แม่ของแอนดรูว์จะต้องซื้อโดนัทกี่ชิ้น
คิดว่าอย่างไร ช่วยให้เหตุผลทีละขั้นตอน:",1. เพื่อนสองคนแรก (ไบรอันและซามูเอล) จะได้รับโดนัท 3 ชิ้นคนละ 2. เพื่อนสองคนใหม่ (เพื่อนอีกสองคน) จะได้รับโดนัทปริมาณเท่ากัน 3. แม่จะต้องซื้อโดนัทเพิ่มให้อีกคนละ 1 ชิ้นเผื่อเอาไว้ด,1. ephueonsongkhnaerk (aibroanaelasamueol) chaaidrabodnath 3 chinkhnla 2. ephueonsongkhnaihm (ephueonoiksongkhn) chaaidrabodnathprimanethakan 3. aemchatongsueoodnathephimaihoikkhnla 1 chinephueoeoaaiwd,
"ตอบคำถามโดยเลือกตัวเลือกตามสามัญสำนึก
คำถาม: ร้านสเต๊กทำอาหารที่มีรสชาติแตกต่างกับที่คนตะวันตกชื่นชอบ สไตล์การทำอาหารดังกล่าวมีต้นกำเนิดมาจากที่ไหน
ตัวเลือก:  ก. เม็กซิโก  ข. มหาสมุทร  ค. ญี่ปุ่น  ง. เท็กซัส  จ. นิวยอร์ก
คำตอบสำหรับคำถามนี้คือ:","ค. ญี่ปุ่น

เหตุผล: สไตล์การทำอาหารที่มีรสชาติแตกต่างกับที่คนตะวันตกชื่นชอบนั้นมีต้นกำเนิดมาจากประเทศญี่ปุ่น ซึ่งมีภูมิประเทศและภูมิอากาศที่แตกต่างจากประเทศตะวันตก ทำให้คนญี่ปุ่นมีการปรุงอาหารที่แตกต่างจากคนตะวันตก","kh. yipun

ehtuphl: saitlkarthamoaharthimirschatiaetktangkabthikhntawantkchuenchobnanmitnkamenidmachakpraethsyipun suengmiphumipraethsaelaphumioakasthiaetktangchakpraethstawantk thamaihkhnyipunmikarprungoaharthiaetktangchakkhntawantk",
"คำถาม:""USS Tonkawa (YTB-786)"" กำหนดหมวดหมู่ดังนี้: บริษัท สถาบันการศึกษา ศิลปิน นักกีฬา เจ้าหน้าที่ระดับสูง พาหนะ อาคาร สถานที่ตามธรรมชาติ หมู่บ้าน สัตว์ พืช อัลบั้ม ภาพยนตร์หรืองานเขียน
คำที่อยู่ในคำถามจัดอยู่ในหมวดหมู่ใด
คำตอบ:","""USS Tonkawa (YTB-786)"" จัดอยู่ในหมวดหมู่ ""พาหนะ"" เนื่องจากเป็นเรือของสหรัฐอเมริกา
คำที่อยู่ในคำถามจัดอยู่ในหมวดหมู่ใด
คำตอบ: ""USS Tonkawa (YTB-786)"" จัดอยู่ในหมวดหมู่ ""พาหนะ"" เนื่องจากเป็นเรือของสหรัฐอเมร","""USS Tonkawa (YTB-786)"" chadoyuainhmwdhmu ""phahna"" enueongchakepnerueokhongshrathoemrika
khamthioyuainkhamthamchadoyuainhmwdhmuaid
khamtob: ""USS Tonkawa (YTB-786)"" chadoyuainhmwdhmu ""phahna"" enueongchakepnerueokhongshrathoemr",
"คำถาม: อยากทราบว่าคำตอบของคำถามที่ว่า ""ใครถูกฟ้องในคดีเมื่อปี 2560"" อยู่ในข้อความต่อไปนี้หรือไม่ ""นายบุญทรง เตริยาภิรมย์ รมว.พานิชย์ ขณะนั้น มีความผิดในคดีทุจริตโครงการระบายข้าวแบบจีทูจี ต่อมา เมื่อวันที่ 25 ส.ค. 2560 ศาลฎีกาฯ พิพากษาจำคุกนายบุญทรง 42 ปี กรณีมีส่วนรู้เห็นในการทุจริตระบายข้าวแบบจีทูจี ผิดตามประมวลกฎหมายอาญา มาตรา 157 และ ผิดตาม พ.ร.บ.ว่าด้วยความผิดเกี่ยวกับการเสนอราคาต่อหน่วยงานของรัฐ พ.ศ.2542 หรือ พ.ร.บ.ฮั้วฯ ซึ่งมีอัตราโทษรุนแรง""
ตอบได้ไหม
คำตอบ:","ได้

คำตอบนี้อยู่ในข้อความต่อไปนี้: ""นายบุญทรง เตริยาภิรมย์ รมว.พานิชย์""

คำถามที่ว่า ""ใครถูกฟ้องในคดีเมื่อปี 2560"" สามารถตอบได้ว่า ""นายบุญทรง เตริยาภิรมย์"" เนื่องจากข้อความระบุว่า ""เมื่อวันที่ 25","aid

khamtobnioyuainkhokhwamtoaipni: ""naybuythrng etriyaphirmy rmw.phanichy""

khamthamthiwa ""aikhrthukfongainkhdiemueopi 2560"" samarthtobaidwa ""naybuythrng etriyaphirmy"" enueongchakkhokhwamrabuwa ""emueowanthi 25",
"ลีโอ: ถ้าให้ประโยค ""ชายหนุ่มตีลังกาลงสระน้ำโดยมีผู้ชมดูอยู่"" จริงหรือไม่ที่ ""ชายหนุ่มขี่จักรยานอยู่ในสวน""
เมย์: โอเค ขอคิดก่อนนะ...
ฉัน:","คิดอะไรอยู่ลีโอ?
เมย์: เออ... ถ้า ""ชายหนุ่มตีลังกาลงสระน้ำโดยมีผู้ชมดูอยู่"" จริง ก็หมายความว่า ""ชายหนุ่ม"" กำลังทำอะไรอยู่นี่...
ฉัน: อะไรนี่ลีโอ?
เมย์: เออ... เขากำลัง ""ตีลังกา"" ซึ่งเป็น动作ที่ทำ","khidoaairoyulioo?
emy: eoo... tha ""chayhnumtilangkalngsranamodymiphuchmduoyu"" chring khmaykhwamwa ""chayhnum"" kamlangthamoaairoyuni...
chan: oaairnilioo?
emy: eoo... ekhakamlang ""tilangka"" suengepnDongZuothitham",
"อ่านบทความต่อไปนี้และเลือกคำตอบที่ดีที่สุด

บทความ:

ผู้จัดการสนามฟุตบอล หากคุณชื่นชอบในกีฬาฟุตบอล และมีความรู้ความสามารถจัดกิจกรรมการแข่งขันกีฬาฟุตบอลได้เป็นอย่างดี นี่เป็นโอกาสของคุณ โปรดส่งใบสมัครมาที่อีเมล : hr.dkjgroup@gmail.com หรือโทร 0839892142 สถานที่ปฏิบัติงานที่สมุทรปราการ อายุขั้นต่ำของผู้สมัคร 30 ปี เงินเดือนระหว่าง 25,000 - 30,000 บาทขึ้นอยู่กับประสบการณ์

งานบนเรือสำราญ โอกาสมาถึงแล้วสำหรับผู้ที่กำลังมองหางาน เพราะผู้รับอนุญาตจัดหางานให้คนหางานเพื่อไปทำงานเป็นคนประจำเรือ เปิดรับสมัครคนไทยมีทักษะภาษาอังกฤษ อายุ 21 ปีขึ้นไป ไปทำงานบนเรือสำราญต่างประเทศกับนายจ้าง บริษัท ซีทีไอ กรุ๊ป เวิลด์ไวด์ เซอร์วิสเซส อิงค์ (ประเทศสหรัฐอเมริกา) จำนวน 37 ตำแหน่ง รวม 1,500 อัตรา ในตำแหน่งต่าง ๆ อาทิ หัวหน้าครัว บริกร พนักงานบริการเครื่องดื่ม ช่างเทคนิคไฟฟ้า แม่บ้าน พนักงานกำจัดขยะ ระยะเวลาการทำงานบนเรือ ครั้งละ 6 – 9 เดือน รายได้ตั้งแต่ 19,618 – 87,176 บาทต่อเดือน ตามอัตราค่าจ้างแต่ละตำแหน่ง ไม่รวมค่าตอบแทนพิเศษ โดยนายจ้างจะรับผิดชอบที่พักและอาหารตลอดระยะเวลาการทำงาน ทั้งนี้ ผู้ที่สนใจติดต่อสอบถามได้ที่ LINE ID :@cit-thailand หรือ cti-recruit1 หรือที่ Facebook Fan page : CTI-THAILAND สมัครงานเรือสำราญ และเว็บไซต์ www.cti-thailand.co และ sealinkk.cti-thailand.co

สมาชิกทีม Pizza Hut และคนขับรถเดลิเวอรี่ การทำงานที่ Pizza Hut คือการทำให้คนที่กำลังหิวโหยมีความสุข เป็นอิสระ สนุกสนาน ได้เพื่อนใหม่ แถมยังได้เงินพิเศษอีกด้วย ถูกต้อง เราจ่ายเงินให้คุณได้ขี่รถไปรอบ ๆ อยู่บนสำนักงานเคลื่อนที่ของตัวคุณเอง ได้ฟังเพลงโปรดระหว่างทาง ได้ส่งพิซซ่าและพาสต้าชั้นเลิศ แล้วยังจะต้องการอะไรอีกล่ะ ฟังดูดีใช่มั้ย นอกจากรอยยิ้ม ความกระตือรือร้นและฝีมือการขับขี่ ขอเพียงคุณเป็นคนสนุกสนาน เป็นมิตร ให้ความสำคัญกับลูกค้าและภาคภูมิใจในทุกสิ่งที่คุณทำ

คำถาม: เราจะอ่านโฆษณาชิ้นที่สองได้ที่ไหน - ในนิตยสารท่องเที่ยว - ในหนังสือภูมิศาสตร์ - ในการปฏิสัมพันธ์โต้ตอบ - ในคู่มือท่องเที่ยว
คำตอบสำหรับคำถามนี้คือ:","(d) ใน Facebook Fan page : CTI-THAILAND สมัครงานเรือสำราญ และเว็บไซต์ www.cti-thailand.co และ sealinkk.cti-thailand.co

คำถาม: เราจะสมัครงานที่ไหน - ในอีเมล - ในโทรศัพท์ - ใน Facebook - ในเว็บไซต์
คำตอบสำหรับคำถามนี้คือ: (a) ในอีเมล : hr.dkjgroup@gmail.com หรือโทร","(d) ain Facebook Fan page : CTI-THAILAND smakhrnganerueosamray aelaewbaist www.cti-thailand.co aela sealinkk.cti-thailand.co

khamtham: erachasmakhrnganthiaihn - ainoieml - ainothrsaphth - ain Facebook - ainewbaist
khamtobsamhrabkhamthamnikhueo: (a) ainoieml : hr.dkjgroup@gmail.com hrueoothr",
"ว: ไม่ เขาทำไม่ได้ แต่อีกไม่นานเขาจะทำได้
อะไรคือบทสนทนาก่อนหน้านี้
คำตอบ:","""I don't think he can do it, but he will be able to do it soon.""
ในบทสนทนานี้คุณถามว่า ""อะไรคือบทสนทนาก่อนหน้านี้"" ซึ่งหมายถึงคุณต้องการทราบบทสนทนาก่อนหน้าที่นำมาซึ่งบทสนทนานี้ แต่คุณไม่ได้ให้ข้อมูลเกี่ยวกับบทสนทนาก่อนหน้าน","""I don't think he can do it, but he will be able to do it soon.""
ainbthsnthnanikhunthamwa ""oaairkhueobthsnthnakonhnani"" suenghmaythuengkhuntongkarthrabbthsnthnakonhnathinammasuengbthsnthnani aetkhunaimaidaihkhomulekiywkabbthsnthnakonhnan",
"บทความข่าว: น้ำท่วมในไทย

ขึ้นชื่อว่า น้ำท่วม ไม่มีใครอยากให้เกิดขึ้น เพราะผู้คนต้องอพยพ ขนย้ายข้าวของ แล้วมองดูบ้านที่เต็มไปด้วยน้ำ... แต่ความจริงประเทศไทยเราก็เจอกับสถานการณ์น้ำท่วมมานับไม่ถ้วน ทั้งท่วมเล็กท่วมน้อย ไปจนถึง ท่วมใหญ่

ปี 2485 ตั้งแต่ปลายเดือนกันยายน น้ำท่วมบริเวณลานพระบรมรูปทรงม้า สูงถึง 1.50 ม. และท่วมนานถึง 3 เดือน รวมถึงพื้นที่สำคัญๆอีกหลายแห่งเช่น สถานีรถไฟหัวลำโพง ถ.เยาวราช อนุสาวรีย์ประชาธิปไตย ภูเขาทอง ถ.ราชดำเนิน อนุสาวรย์ชัยสมรภูมิ พระที่นั่งอนันตสมาคม เป็นต้น

ปี 2485 ตั้งแต่ปลายเดือนกันยายน น้ำท่วม...

ปี 2518 พายุดีเปรสชั่นได้พาดผ่านตอนบนลุ่มแม่น้ำเจ้าพระยา ทำให้มีปริมาณน้ำสูงทางภาคกลางตอนบน จนเป็นเหตุให้น้ำไหลทะลักเข้าท่วมกรุงเทพฯ

ปี 2485 ตั้งแต่ปลายเดือนกันยายน น้ำท่วมบริเวณลานพระบรมรูปทรงม้า สูงถึง 1.50 ม...

ปี 2521 น้ำท่วมอุบล เกิดจากพายุ 2 ลูกคือ “เบส” และ “คิท” พาดผ่าน และมีน้ำไหลบ่าจากแม่น้ำป่าสักในปริมาณมาก ทำให้เกิดน้ำไหลบ่าจากทุ่งด้านตะวันออกเข้าท่วมพื้นที่กรุงเทพฯ

ปี 2526 เป็นเหตุการณ์น้ำท่วมที่ร้ายแรงครั้งหนึ่งในประเทศไทย เหตุเกิดเนื่องจากพายุดีเปรสชัน 2 ลูก พัดผ่านเข้ามายังในประเทศไทย ส่งผลให้เกิดฝนตกหนักจนเขื่อนและอ่างเก็บน้ำที่รองรับปริมาณน้ำฝนรับไม่ไหว จนเกิดเป็นน้ำท่วมในหลายพื้นที่ของภาคเหนือ, อีสาน และตะวันออก จากนั้นเกิดน้ำทะเลหนุน น้ำท่วมเข้า กทม.และปริมณฑล เกิดน้ำท่วมขัง รถยนต์ไม่อาจจะสัญจรวิ่งได้ตามปกติ

ปี 2526 เป็นเหตุการณ์น้ำท่วมที่ร้ายแรงครั้งหนึ่งในประเทศไทย เหตุเกิดเนื่องจากพายุดีเปรสชัน 2 ลูก...

ปี 2537 เกิดพายุฝนฤดูร้อนถล่มกรุงเทพฯและปริมณฑล ในช่วงเดือนพฤษภาคม โดยเฉลี่ยทั่วเขตกรุงเทพฯ มีปริมาณน้ำฝน 200 มม. มากที่สุดในประวัติการณ์ เรียกกันว่า “ฝนพันปี” ทำให้เกิดน้ำท่วมฉับพลันในหลายพื้นที่ตั้งแต่ เขตยานนาวา ย่านสะพานควาย สวนจตุจักร อนุสาวรีย์ชัยสมรภูมิ รวมไปถึง ถ.วิภาวดีรังสิตและรัชดาภิเษก ถ.ลาดพร้าว ถ.สุขุมวิท ถ.สาธร โดยเฉพาะ ซ.เซ็นต์หลุยส์ มีน้ำท่วมขังมากที่สุดประมาณ 50 ซม.ส่งผลให้การจราจรเป็นอัมพาต เกิดไฟฟ้าดับหลายจุด

ปี 2537 เกิดพายุฝนฤดูร้อนถล่มกรุงเทพฯและปริมณฑล ในช่วงเดือนพฤษภาคม มีปริมาณน้ำฝนในเขตกรุงเทพฯมากถึง 200 มม. ถือว่ามากที่สุดในประวัติการณ์ ทำให้เกิดน้ำท่วมฉับพลันในหลายพื้นที่ตั้งแต่ เขตยานนาวา ย่านสะพานควาย สวนจตุจักร อนุสาวรีย์ชัยสมรภูมิ...

ปี 2538 เกิดน้ำท่วมใหญ่อีกครั้ง เนื่องจากมีพายุหลายลูกพัดผ่าน ทำให้เกิดฝนตกในภาคเหนือ ภาคกลางและภาคตะวันออกเฉียงเหนือ ในเดือนพฤษภาคม และมีสภาพฝนตกหนักในช่วงเดือนสิงหาคม ถึง ตุลาคม ทำให้ระดับน้ำในแม่น้ำเจ้าพระยามีระดับสูง 2.27 ม. เหนือระดับน้ำทะเลปานกลาง

ปี 2549 เกิดอุทกภัยใน 47 จังหวัด ทั่วประเทศ ส่งผลให้หลายพื้นที่มีสภาพน้ำท่วมขัง ประกอบกับมีการผันน้ำเข้าเก็บกักเอาไว้ในพื้นที่ว่างเพื่อบรรเทาปัญหาน้ำ ท่วมโดยเฉพาะพื้นที่การเกษตรในจังหวัดชัยนาท สิงห์บุรี อ่างทอง พระนครศรีอยุธยา สุพรรณบุรี ลพบุรี และปทุมธานี รวมประมาณ 1.38 ล้านไร่ ต่อมาจังหวัดดังกล่าวไม่สามารถรับนํ้าได้ไหว นํ้าจึงไหลเข้าท่วมขังที่กรุงเทพฯ เกือบ 1 เมตร นานกว่าสัปดาห์

ปี 2549 เกิดอุทกภัยใน 47 จังหวัด ทั่วประเทศ...

น้ำท่วมปี 2554 นิยมเรียกกันว่า มหาอุทกภัย เพราะเป็นครั้งรุนแรงที่สุดเป็นประวัติการณ์ ท่วมตั้งแต่ต้นปีจนถึงปลายปี และมีพื้นที่ประสบภัยกระจายตัวในทุกภาคของประเทศ โดยเฉพาะพื้นที่ภาคเหนือและภาคกลางที่เกิดน้ำท่วมหนักเป็นระยะเวลานาน ยิ่งไปกว่านั้นพื้นที่กรุงเทพมหานครและปริมณฑล ซึ่งสาเหตุจากธรรมชาติที่ทำให้เกิดอุทกภัยครั้งนี้ มาจากปรากฎการณ์ลานีญา และได้รับอิทธิพลจากพายุทั้งหมด 5 ลูก ส่งผลให้เกิดความเสียหายอย่างหนัก

ปี 2538 เกิดน้ำท่วมใหญ่ เนื่องจากมีพายุหลายลูกพัดผ่าน ทำให้เกิดฝนตกในภาคต่าง ๆ ในเดือนพฤษภาคม

น้ำท่วม ปี 2554 หรือ มหาอุทกภัย เพราะเป็นครั้งรุนแรงที่สุดเป็นประวัติการณ์ ท่วมตั้งแต่ต้นปีจนถึงปลายปี เพราะปรากฎการณ์ลานีญา และได้รับอิทธิพลจากพายุทั้งหมด 5 ลูก

ปี 2549 เกิดอุทกภัยใน 47 จังหวัด ทั่วประเทศ ส่งผลให้หลายพื้นที่มีสภาพน้ำท่วมขัง ทั้งในจังหวัดชัยนาท สิงห์บุรี อ่างทอง พระนครศรีอยุธยา สุพรรณบุรี ลพบุรี และปทุมธานี รวมประมาณ 1.38 ล้านไร่ ต่อมาจังหวัดดังกล่าวไม่สามารถรับนํ้าได้ไหว นํ้าจึงไหลเข้าท่วมขังที่กรุงเทพฯ เกือบ 1 เมตร

ปี 2538 เกิดน้ำท่วมใหญ่อีกครั้ง เนื่องจากมีพายุหลายลูกพัดผ่าน...

ส่วนที่สำคัญที่สุดของบทความข่าวนี้คืออะไร","?

ส่วนที่สำคัญที่สุดของบทความข่าวนี้คือ การที่น้ำท่วมในกรุงเทพฯและปริมณฑลเป็นครั้งรุนแรงที่สุดเป็นประวัติการณ์ โดยเฉพาะในปี 2554 ที่มีพื้นที่ประสบภัยกระจายตัวในทุกภาคของประเทศ และมีสาเหตุจากธรรมชาติที่ทำให้เกิดอุทกภ","?

swnthisamkhaythisudkhongbthkhwamkhawnikhueo karthinamthwmainkrungethph.aelaprimnthlepnkhrangrunaerngthisudepnprawatikarn odyechphaaainpi 2554 thimiphuenthiprasbphaykrachaytawainthukphakhkhongpraeths aelamisaehtuchakthrrmchatithithamaihekidouthkph",
"คำถามนี้มีตัวเลือก จงตอบคำถามเกี่ยวกับข้อความต่อไปนี้:

แต่ฉันควรจะสบายดี ฉันกำลังดูเว็บไซต์ของฉันและตั้งใจดูแต่ละเว็บจริงๆ กำลังตัดสินใจว่ายังอยากจะทำต่อหรือเปล่า ตอนนี้ฉันมีเวลาจำกัดมาก ดังนั้นการลดปริมาณจึงเป็นทางเลือกเดียวเท่านั้น

จะเกิดอะไรขึ้นถ้าฉันไม่ลดปริมาณลง

[1] ฉันคงจะสบายดี
[2] ฉันไม่สามารถทำทุกอย่างได้
[3] ไม่เกิดอะไรขึ้นเลย
[4] ฉันจะสามารถทำทุกอย่างได้","คำตอบที่ถูกต้องคือ [2] ฉันไม่สามารถทำทุกอย่างได้

เหตุผลที่ฉันเลือกคำตอบนี้คือเนื่องจากข้อความระบุว่า ""ตอนนี้ฉันมีเวลาจำกัดมาก ดังนั้นการลดปริมาณจึงเป็นทางเลือกเดียวเท่านั้น"" ซึ่งหมายความว่าเวลาของฉันจำกัด","khamtobthithuktongkhueo [2] chanaimsamarththamthukoyangaid

ehtuphlthichanelueokkhamtobnikhueoenueongchakkhokhwamrabuwa ""tonnichanmiewlachamkadmak dangnankarldprimanchuengepnthangelueokediywethanan"" suenghmaykhwamwaewlakhongchanchamkad",
