Input,Pred,Pred_Latin,Gold
"Apakah landasan dugaan ""Sekelompok orang sedang duduk mengelilingi ruang tamu sedang berbincang-bincang"". Benar jika ""Beberapa orang berbicara selama reuni keluarga.""?",[pic] ? https://path.com/p/3tZQWR,[pic] ? https://path.com/p/3tZQWR,
"Kalimat 1: Dalam bab 165 dan 169, Undang-undang menetapkan nilai khusus pada perlindungan jarak pandang di 156 taman nasional dan area hutan belantara  (contohnya.

Kalimat 2: Beberapa dari taman nasional ini merupakan suaka burung.
Apakah kalimat kedua masih berhubungan dengan kalimat pertama?",ya,ya,
"Jika aku berkata kalau satuan unit untuk gelas ukur silinder adalah liter, dan bertanya padamu ""apa satuan unit untuk gelas ukur""?, apakah jawaban yang benar ""mesin""?
Pilih antara: +Ya. +Tidak.""",dy,dy,
"Apa ringkasan satu kalimat dari artikel berikut?
Jadwalkan kunjungan dengan dokter Anda untuk mendiskusikan manfaat dan kerugian penggunaan produk ini. Diskusikan efek DMSO terhadap suplemen atau obat lain yang Anda pakai, karena DMSO dapat meningkatkan efektivitas obat tertentu, termasuk pengencer darah, obat penenang, dan steroid. Tanyakan juga kepada dokter Anda tentang rekomendasi konsentrasi dan dosis. Pastikan untuk memberi tahu dokter Anda tentang kondisi medis lain yang Anda miliki, termasuk diabetes, asma, dan masalah hati atau ginjal, karena DMSO dapat memperburuk kondisi ini. Efek samping DMSO mungkin termasuk bau bawang putih, iritasi kulit, dan sakit perut. Reaksi yang lebih serius termasuk gatal atau terbakar di tempat aplikasi, sakit kepala, dan reaksi alergi yang parah. Jika Anda mengalami reaksi yang merugikan, hentikan penggunaan DMSO dan hubungi dokter Anda. Jika terjadi reaksi alergi yang parah, dapatkan pertolongan medis darurat. Mengonsumsi DMSO secara oral dapat menyebabkan pusing, mual, muntah, diare, sembelit, mengantuk, dan penurunan nafsu makan. Sampai keamanan penggunaan DMSO melalui mulut atau suntikan diketahui, gunakan hanya secara topikal atau melalui kateter dengan persetujuan dokter Anda dan di bawah pengawasannya.","Jadwalkan kunjungan dengan dokter Anda untuk mendiskusikan manfaat dan kerugian penggunaan produk ini. Diskusikan efek DMSO terhadap suplemen atau obat lain yang Anda pakai, karena DMSO dapat meningkatkan efektivitas obat tertentu. Tanyakan juga kepada dok","Jadwalkan kunjungan dengan dokter Anda untuk mendiskusikan manfaat dan kerugian penggunaan produk ini. Diskusikan efek DMSO terhadap suplemen atau obat lain yang Anda pakai, karena DMSO dapat meningkatkan efektivitas obat tertentu. Tanyakan juga kepada dok",
"Mengingat bagian berikut ""Penduduk non-Pribumi Amerika pertama yang pada akhirnya akan menjadi Kota New York, adalah pedagang asal Dominika Juan Rodriguez (ditransliterasikan ke Bahasa Belanda sebagai Jan Rodrigues). Lahir di Santo Domingo, dirinya merupakan keturunan Portugis dan Afrika, ia pertama kali menginjakan kakinya di Manhattan pada musim dingin antara tahun 1613-1614, untuk menangkap hewan berbulu dan memperdagangkannya dengan penduduk setempat sebagai perwakilan Belanda. Jalan raya, dari 159th Street hingga 218th Street, dinamai Juan Rodriguez Way untuk menghormatinya"". Jawab pertanyaan berikut. Ingat bahwa jawabannya sudah tersedia di dalam teks. Pertanyaan: Bagaimana orang-orang yang diwakili Juan menyebut namanya?
A:",Juan Rodriguez,Juan Rodriguez,
Apa nama kapal tanker minyak yang karam di Isles of Scilly pada tahun 1967?,http://tanker-ships.com/en/ship.php?id=2399,http://tanker-ships.com/en/ship.php?id=2399,
"Noah adalah seorang pelukis. Dia melukis dan menjual lukisannya di taman. Dia mengenakan biaya $60 untuk lukisan besar dan $30 untuk lukisan kecil. Bulan lalu dia menjual delapan lukisan besar dan empat lukisan kecil. Jika dia menjual dua kali lipat bulan ini, berapa total penjualannya bulan ini? Pikirkan dengan baik terlebih dahulu, dan berikan keputusanmu:","Bagaimana dia bisa menjual dua kali lipat, empat lukisan kecil, dan delapan lukisan besar jika dia hanya melakukan taman?","Bagaimana dia bisa menjual dua kali lipat, empat lukisan kecil, dan delapan lukisan besar jika dia hanya melakukan taman?",
"Jawablah pertanyaan berikut: Dari skala 1-5 (dengan 1 sangat buruk 5 sangat bagus), bagaimana kamu akan menilai ulasan ini? ""Chintan A. kachhela""
Jawaban:""","Chintan A. kachhela""","Chintan A. kachhela""",
"Aku seorang sutradara film dan aku baru saja menerima sinopsis film berikut. Dapatkah kamu membantuku menjawab pertanyaan ini? Jika tidak, beritahu aku dengan menuliskan ""pertanyaan tidak bisa dijawab"".  Judul sinopsis : Sang Singa, Sang Penyihir dan Lemari. Bab 1: Lucy Melihat ke Dalam Lemari Sinopsis: Bab pertama membuka cerita dengan empat saudara, Peter, Susan, Edmund, dan Lucy, yang dievakuasi dari London selama Perang Dunia II dan tinggal di rumah Profesor Kirke. Lucy menemukan sebuah lemari yang merupakan pintu masuk ke dunia ajaib Narnia.   Bab 2: Apa yang Lucy Temukan di Sana  Sinopsis: Lucy menjelaskan kepada saudaranya bahwa dia telah mengunjungi Narnia, tetapi mereka tidak mempercayainya. Lucy kembali ke Narnia dan bertemu dengan Faun bernama Tumnus, yang menjelaskan bahwa Narnia dikuasai oleh Sang Ratu Putih Jahat.     Bab 3: Edmund dan Lemari  Sinopsis: Edmund tidak percaya cerita Lucy, tetapi ia akhirnya juga menemukan Narnia dan bertemu dengan Ratu Putih Jahat yang memberinya makanan ajaib. Edmund pulang ke dunia nyata dan berbohong kepada saudaranya tentang Narnia.    Bab 4: Turkish Delight
Sinopsis: Edmund kembali ke Narnia untuk mencari lebih banyak makanan ajaib dan bertemu lagi dengan Ratu Putih Jahat. Ratu menawarkan dia lebih banyak makanan dan berusaha memanfaatkannya untuk menemukan saudara-saudaranya.    Bab 5: Kembali ke Sisi Pintu Sebelah Sini  Sinopsis: Edmund kembali ke dunia nyata, dan saudara-saudaranya mulai mempercayai cerita Lucy tentang Narnia. Mereka mencoba masuk ke Narnia bersama-sama melalui lemari dan menemukan diri mereka di hutan Narnia... Pertanyaanku: Dimanakan pintu ke dunia ajaib?
Jawaban untuk pertanyaan ini adalah: ",Lemari,Lemari,
"Seperti apakah versi kalimat berikut dengan tanda baca yang benar?

Terlepas dari tubuhnya yang sangat kecil dan bulat, Manx masih dianggap memiliki stuktur tubuh yang kuat dan berat dari ras ini bisa mencapai delapan hinggan 12 pon",(45-120 kg) pada usia tiga bulan.,(45-120 kg) pada usia tiga bulan.,
