Input,Pred,Pred_Latin,Gold
"ສະຖານທີ່: \ ການປ່ອຍສິນເຊື່ອຕໍ່ເດັກຈະຖືກແຈກຢາຍຢ່າງກວ້າງຂວາງ - ເຖິງແມ່ນວ່າບໍ່ແມ່ນຜູ້ທຸກຍາກ (ຜູ້ທີ່ບໍ່ໄດ້ຈ່າຍພາສີ, ດັ່ງນັ້ນບໍ່ສາມາດໃຊ້ສິນເຊື່ອໄດ້). ສົມມຸດຕິຖານ ""ການປ່ອຍສິນເຊື່ອຕໍ່ເດັກແມ່ນເປັນປະໂຫຍດທີ່ສຸດໃນລະດັບລາຍຮັບຕ່ໍາ, ເຖິງແມ່ນວ່າບໍ່ແມ່ນຢູ່ດ້ານລຸ່ມຂອງຂະຫນາດຄວາມທຸກຍາກ, ບ່ອນທີ່ມັນບໍ່ສາມາດໃຊ້ໄດ້.""",- ຊາດພາສີການການປ່ອຍສິນເຊື່ອຕໍ່ເດັກການການປ່ອຍສິນເຊື່,- xadphasikankanpgnsinexutoedakkankanpgnsinexu,ການປ່ອຍສິນເຊື່ອຕໍ່ເດັກແມ່ນການສະແດງຄວາມສະຫນາດຂອງຜູ້ທີ່ບໍ່ສາມາດໃຊ້ສິນເຊື່ອໄດ້. ຜູ້ທີ່ບໍ່ໄດ້ຈ່າຍພາສີບໍ່ສາມາດໃຊ້ສິນເຊື່ອໄດ້ສົມມຸດຕິຖານການປ່ອຍສິນເຊື່ອຕໍ່ເດັກແມ່ນການປະໂຫຍດທີ່ສຸດໃນລະດັບລາຍຮັບຕ່ໍາ. ນັ້ນບໍ່ສາມາດໃຊ້ສິນເຊື່ອໄດ້ໃນດ້ານລຸ່ມຂອງຂະຫນາດຄວາມທຸກຍາກ.
"ຄູ: ໃນວຽກງານນີ້, ເຈົ້າໄດ້ຮັບປະໂຫຍກຄູ່, ປະໂຫຍກ 1 ແລະປະໂຫຍກ 2, ທີ່ບໍ່ເຫັນດີນໍາຫຼືຂັດກັນ. ວຽກຂອງເຈົ້າຄືການປ່ຽນປະໂຫຍກ 2 ເພື່ອໃຫ້ຄູ່ນັ້ນຂັດກັນຢ່າງຈະແຈ້ງ. ປະໂຫຍກທີ່ສ້າງຂຶ້ນຈະຕ້ອງສັ້ນ, ມີຫນ້ອຍກວ່າ 15 ຄໍາ. ຂໍ້ມູນໃຫມ່ສາມາດນໍາສະເຫນີ. ຫຼີກເວັ້ນການໃຊ້ຄໍາສັບເພື່ອສັບສົນຫົວຂໍ້ຂອງປະໂຫຍກ.
ອາຈານ: ດຽວນີ້ເຂົ້າໃຈບັນຫາບໍ? ແກ້ໄຂຕົວຢ່າງນີ້: ປະໂຫຍກ 1: ຜູ້ຊາຍໃສ່ເສື້ອກັນຫນາວສີແດງແລະເກີບສູງເຂົ່າກໍາລັງຫາປາບິນ. ປະໂຫຍກທີ 2: ຜູ້ຊາຍບິນຫາປາໃນເຄື່ອງນຸ່ງທີ່ເຫມາະສົມ
ນັກ​ຮຽນ:",ຈຳນວນດຽວນີ້ຊົງຈຳນວນດຽວນີ້ຊົງຈຳນວນດຽວນີ້ຊົງຈຳນວນດຽ�,chamnvndyvnixongchamnvndyvnixongchamnvndyvnixongchamnvndy?,ຂໍຂອບໃຈທີ່ທ່ານສະເຫນີການປ່ຽນປະໂຫຍກຂອງຄູ່ນັ້ນເພື່ອໃຫ້ຄູ່ຂັດກັນຢ່າງຈະແຈ້ງ. ຂໍຂອບໃຈທີ່ທ່ານສ້າງປະໂຫຍກທີ່ຈະຕ້ອງສັ້ນມີຫນ້ອຍກວ່າ 15 ຄໍາ. ຂໍຂອບໃຈທີ່ທ່ານສາມາດສົບສົນຫົວຂໍ້ຂອງປະໂຫຍກໃຫມ່ໄດ້. ກະລຸນາລົງທະບຽນການໃຊ້ຄໍາສັບເພື່ອສັບສົນຫົວຂໍ້ຂອງປະໂຫຍກດຽວນີ້.
"ຂຽນຄໍາຖາມຫຼາຍທາງເລືອກສໍາລັບບົດຄວາມຕໍ່ໄປນີ້, ໂດຍມີທາງເລືອກແລະຄໍາຕອບ: ບົດຄວາມ: Little James ມັກກິລາ, ດັ່ງນັ້ນລາວຈຶ່ງສູງແລະແຂງແຮງໃນໂຮງຮຽນມັດທະຍົມຂອງລາວ. ລາວມັກຫຼິ້ນບານເຕະຫຼາຍ, ລາວຄິດວ່າມັນຫນ້າສົນໃຈ. ແມ່ຕູ້ຂອງລາວອາໄສຢູ່ໃນບ້ານ. ມື້ຫນຶ່ງ, ນາງມາໂຮງຮຽນແລະເຫັນລາວ. ແມ່ຕູ້ບໍ່ພົບເດັກຊາຍຢູ່ໃນຫ້ອງຮຽນ, ດັ່ງນັ້ນນາງຈຶ່ງໄປຊອກຫາລາວຢູ່ໃນໂຮງຮຽນ. ນາງພົບວ່າ James ແລະເດັກຊາຍບາງຄົນຫຼິ້ນກັບລູກດຽວ. ແມ່ຕູ້ເວົ້າກັບລາວວ່າ: ຢ່າຫຼິ້ນກັບເຂົາເຈົ້າ, ຂ້ອຍສາມາດຊື້ລູກບານໃຫ້ເຈົ້າໄດ້.” ທາງເລືອກ: ແມ່ຕູ້ຮັກເຈມ B ແມ່ຕູ້ຮູ້ວິທີຫຼິ້ນບານເຕະ C ແມ່ຕູ້ຄິດວ່າກິລາບານເຕະເປັນທີ່ໜ້າສົນໃຈ D ແມ່ຕູ້ເປັນຄູສອນ. ຄຳຕອບ: ແມ່ຕູ້ຮັກຢາໂກໂບ ຄຳຖາມ:
""","ສາມາດຊື້ລູກບານໃຫ້ເຈົ້າໄດ້.""
ລາວຮັກຢາໂກໂບຊື້ລູກບານໃຫ້�","samadxuloukbanaihechoaaid.""
lavhakyaokobxuloukbanaih?","ຂຽນຄໍາຖາມຫຼາຍທາງເລືອກສໍາລັບບົດຄວາມຕໍ່ໄປນີ້, ໂດຍມີທາງເລືອກແລະຄໍາຕອບ: ບົດຄວາມ: Little James ມັກກິລາ, ດັ່ງນັ້ນລາວຈຶ່ງສູງແລະແຂງແຮງໃນໂຮງຮຽນມັດທະຍົມຂອງລາວ. ລາວມັກຫຼິ້ນບານເຕະຫຼາຍ, ລາວຄິດວ່າມັນຫນ້າສົນໃຈ. ແມ່ຕູ້ຂອງລາວອາໄສຢູ່ໃນບ້ານ. ມື້ຫນຶ່ງ, ນາງມາໂຮງຮຽນແລະເຫັນລາວ. ແມ່ຕູ້ບໍ່ພົບເດັກຊາຍຢູ່ໃນຫ້ອງຮຽນ, ດັ່ງນັ້ນນາງຈຶ່ງໄປຊອກຫາລາວຢູ່ໃນໂຮງຮຽນ. ນາງພົບວ່າ James ແລະເດັກຊາຍບາງຄົນຫຼິ້ນກັບລູກດຽວ. ແມ່ຕູ້ເວົ້າກັບລາວວ່າ: ຢ່າຫຼິ້ນກັບເຂົາເຈົ້າ, ຂ້ອຍສາມາດຊື້ລູກບານໃຫ້ເຈົ້າໄດ້.” ທາງເລືອກ: ແມ່ຕູ້ຮັກເຈມ B ແມ່ຕູ້ຮູ້ວິທີຫຼິ້ນບານເຕະ C ແມ່ຕູ້ຄິ"
"ມັກສ່ວນອາຫານ. ພຽງແຕ່ໃຫ້ແນ່ໃຈວ່າຈະມາໃນເວລາທີ່ຫິວ. ລາຄາແມ່ນສົມເຫດສົມຜົນຫຼາຍແລະການບໍລິການແມ່ນດີ. ທຸກໆຄັ້ງທີ່ຂ້ອຍຮ້ອງຂໍບາງສິ່ງບາງຢ່າງ, ຜູ້ຮັບໃຊ້ໄວແລະຍິນດີທີ່ຈະເອົາ!
ການທົບທວນຄືນນີ້ແມ່ນບວກຫຼືລົບ?
OPT:
 -- ທາງລົບ
 -- ບວກ
ຄໍາຕອບ:","ທາງລົບ
OPT:
 -- ທາງລົບ
 -- ບວກ
ຄໍາຕອບ: ບວກ
OPT:
 -- ທາງລົບ
 -- ບວກ
ຄໍາຕອບ:","thanglob
OPT:
 -- thanglob
 -- bvk
khoatb: bvk
OPT:
 -- thanglob
 -- bvk
khoatb:",ທາງລົບ
"ຈ່ ງົ ຊອກຫາຄ່ າ : −29 + 10 + 13 = 3*f ສໍາລັບ f.
ການແກ້ໄຂແມ່ນຫຍັງ?",ດັງການຊາດຫາຄ່າດັງການຊາດຫາຄ່າດັງການຊາດຫາຄ່າດັງການຊ�,dangkanxadhakhadangkanxadhakhadangkanxadhakhadangkanx?,ການແກ້ໄຂແມ່ນຈະສະແດງຄ່າຂອງ f ໃນຮູບພາບຕ່າງໆຂອງຮູບພາບນີ້. ທີ່ມີຄ່າທີ່ຖືກຕ້ອງຈະເປັນຄ່າຂອງ f. ທີ່ບໍ່ຖືກຕ້ອງຈະເປັນຄ່າທີ່ບໍ່ຖືກຕ້ອງຈະເປັນຄ່າຂອງ f.
ເຮືອບັນທຸກນ້ຳມັນທີ່ແຕກອອກຈາກເກາະ Scilly ໃນປີ 1967 ແມ່ນຫຍັງ?,"(What was the reason for the British government's decision to move the island of Scilly to its present location in 1967?)
ເຮືອບັນທຸກນ້ຳມັນທີ່ແຕກອອກຈາກເກາະ Scilly ໃນປ","(What was the reason for the British government's decision to move the island of Scilly to its present location in 1967?)
ehubanthouknammanthietkkchakekaa Scilly ainp",ນ້ຳມັນທີ່ແຕກອອກຈາກເກາະ Scilly ໃນປີ 1967 ແມ່ນນ້ຳມັນທີ່ສະຫຼຸບການສະເຫນີຂອງເຮືອບັນທີ່ມີຄວາມສະຫຼຸບການທີ່ສະເຫນີຂອງນ້ຳມັນທີ່ສະຫຼຸບການສະເຫນີຂອງເຮືອບັນທີ່ມີຄວາມສະຫຼຸບການທີ່ສະເຫນີຂອງນ້ຳມັນທີ່ສະຫຼຸບການສະເຫນີຂອງເຮືອບັນທີ່ມີຄວາມສະຫຼຸບການທີ່ສະເຫນີຂອງນ້ຳມັນທີ່ສະຫຼຸບການສະເຫນີຂອງເຮືອບັນທີ່ມີຄວາມສະຫຼຸບການທີ່ສະເຫນີຂອງນ້ຳມັນທີ່ສະຫຼຸບການສະເຫນີຂອງເຮືອບັນທີ່ມີຄວາມສະຫຼຸບການທີ່ສະເຫນີຂອງນ້ຳມັນທີ່ສະຫຼຸບການສະເຫນີຂອງເຮືອບັນທີ່ມີຄວາມສະຫຼຸບການທີ່ສະເຫນີຂອງນ້ຳມັນທີ່ສະຫຼຸບການສະເຫນີຂອງເຮືອບັນທີ່ມີຄວາມສະຫຼຸບການທີ່ສະເຫນີຂອງນ້ຳ
"ເມຍຂອງ Yasser Arafat #39; ​ແຕ່​ເຂົາ​ເຈົ້າ​ໄດ້​ຕັດສິນ​ໃຈ​ທີ່​ຈະ​ເດີນ​ໜ້າ​ໄປ​ຢ້ຽມຢາມ​ປະທານາທິບໍດີ ປາ​ແລັດ​ສະ​ໄຕ ທີ່​ເຈັບ​ໜັກ​ຢູ່​ໂຮງໝໍ​ທະຫານ​ຝຣັ່ງ.
ເລືອກຄໍາຕອບຂອງເຈົ້າ. ຂໍ້ຄວາມນີ້ກ່ຽວກັບຫຍັງ?
ຄໍາຕອບທີ່ເປັນໄປໄດ້:
1). ໂລກ
2). ກິລາ
3). ທຸລະກິດ
4). ວິທະຍາສາດ/ເຕັກນິກ
ຄໍາຕອບ:","ທຸລະກິດ

ສະດັດສະກຸນດີເປັນທຸລະກິດທີ່ຈະປະຕິທິດຕັດສິນຄ","thoulakid

sadadsakoundiepanthoulakidthichapatithidtadsinkh","ຄໍາຕອບທີ່ເປັນໄປໄດ້ແມ່ນໂລກ, ກິລາ, ທຸລະກິດ, ວິທະຍາສາດ/ເຕັກນິກ."
"ຄຸນ​ລັກ​ສະ​ນະ: name = The Golden Palace, eatType = ຮ້ານກາເຟ, ຄະແນນລູກຄ້າ = 3 ອອກຈາກ 5, ພື້ນທີ່ = ແຄມແມ່ນ້ໍາ. ຜະລິດປະໂຫຍກລາຍລະອຽດກ່ຽວກັບຮ້ານອາຫານນີ້.",ສະຫລອດຈາກທັງຫຼາຍອາຫານນີ້ທັງຫຼາຍອາຫານນີ້ທັງຫຼາຍອາຫ�,sahldchakthanghlagnahannithanghlagnahannithanghlagnah?,ຮ້ານອາຫານ The Golden Palace ຄວນມີຄຸນລັກສະນະທີ່ເປັນຮ້ານກາເຟ ທີ່ຕັ້ງຢູ່ໃນເຮືອນກາງທີ່ຂອງເມືອງແຄມແມ່ນ້ໍາ. ສະນະລັກຄ້າຂອງຮ້ານນີ້ມີຈຳນວນ 3 ຄົນອອກຈາກຈຳນວນທີ່ມີຢູ່ທີ່ສຸດທີ່ຂອງຄົນຄະແນນລູກຄ້າຂອງຮ້ານນີ້ເທົ່ານັ້ນ. ຮ້ານນີ້ເປັນສະຫຼຸບການສ້າງຂຶ້ນກັບການສ້າງສິນຄ້າທີ່ມີຄວາມສະຫຼຸບການທີ່ດີທີ່ສຸດໃນພື້ນທີ່ຂອງເຮືອນກາງທີ່ຂອງເມືອງແຄມແມ່ນ້ໍາ.
ຂຽນບົດຄວາມທີ່ຕອບຄໍາຖາມຕໍ່ໄປນີ້: ຜູ້ນໍາຄົນໃດຮັບໃຊ້ສໍາລັບຈໍານວນປີທີ່ຍາວທີ່ສຸດເປັນອັນດັບສອງ?,| ພະຍາດຕໍ່ນີ້ | ການກະລຸນາຊົນລົງການສະຫລອດຕໍ່ນີ້ | ຜູ້ນໍາ,| phagnadtoni | kankalounaxonlongkansahldtoni | phounoa,ບົດຄວາມທີ່ຕອບຄົນໃດຮັບໃຊ້ສໍາລັບຈໍານວນປີທີ່ຍາວທີ່ສຸດເປັນອັນດັບສອງເປັນບັນຊີທີ່ມີຄວາມສາມາດຕິດຕັ້ງໄດ້ທີ່ສູງສຸດຂອງຄົນນັ້ນ. ຄົນນັ້ນຈະສາມາດໃຊ້ບັນຊີນີ້ໄດ້ສູງສຸດສະຫຼັບສອງປີທີ່ມີການສຶກສາສາມາດຕິດຕັ້ງໄດ້ທີ່ສູງສຸດຂອງຄົນນັ້ນ. ບັນຊີນີ້ຈະມີຄວາມສາມາດຕິດຕັ້ງໄດ້ສູງສຸດສະຫຼັບສອງປີທີ່ມີການສຶກສາສາມາດຕິດຕັ້ງໄດ້ທີ່ສູງສຸດຂອງຄົນນັ້ນ.
"ຂໍ້ມູນ: ຊື່ = The Cambridge Blue, eatType = ຮ້ານອາຫານ, ອາຫານ = ຈີນ, priceRange = ຫຼາຍກວ່າ \u00a330, near = Caf\u00e9 Brazil. ເຈົ້າສາມາດສ້າງປະໂຫຍກກ່ຽວກັບຂໍ້ມູນນີ້ໄດ້ບໍ?",(Can you create a summary of this information?) ເພດອາສາມາດສ້າງປະໂຫຍກກ່ຽວກັບຂໍ້ມູນນີ້ໄດ້ບໍ? (Can you create a summary,(Can you create a summary of this information?) ephdasamadsangpaohgnkkyvkabkhomounniaidbo? (Can you create a summary,"ຂໍ້ມູນນີ້ເປັນຂໍ້ມູນກ່ຽວກັບຮ້ານອາຫານທີ່ມີຊື່ ""The Cambridge Blue"" ທີ່ໃຊ້ເວລາການກິນອາຫານຈີນແລະມີລາຄາຕໍ່ເທົ່ານັ້ນຫຼາຍກວ່າ £30. ຮວມທີ່ຢູ່ໃນທີ່ຕ່າງກັນຂອງຮ້ານນີ້ແມ່ນ ""Café Brazil""."
